저감미당 온도,오일 온도,열수 온도,호모믹스탱크 온도,호모믹스탱크 중량,호모믹스탱크 TS,정체시간,호모믹스탱크 교반속도,S1 탱크 온도,유량,조제액 온도,조제액 색도
45.9,71.6,66.3,58.1,3077.0,65.0,28241.723706353754,2420.0,57.9,4210.0,57.8,0.79
47.0,71.6,74.53618192026214,59.0,3077.0,65.0,14580.0,2334.0,58.7,3894.4663455353143,58.3,0.83
46.96550113600351,72.2,72.0,59.85831528076508,3077.0,65.0,12180.0,2334.0,59.65748852860592,4200.0,59.38378972891392,0.69
58.55297969224404,72.4,72.6,65.4,3077.0,65.0,12600.0,2275.0,65.2,4240.0,65.0,0.79
48.326392593041376,72.5,70.1,59.134377661784406,3077.0,65.0,12780.0,2146.0,58.933563803976114,4230.0,58.65201908676386,0.74
50.5,72.3,72.68089764716288,61.0,3077.0,65.0,8400.0,2269.0,60.9,3572.5225219473896,60.6,0.63
48.82075579456594,72.43944388680244,71.22925242982505,58.74796433486881,3082.843790272636,64.97310756929856,2760.0,2290.680091711656,60.51046965352582,4250.0,59.168099174462014,0.6786850879075619
45.051976674839,73.10792429131045,69.64815694305365,59.01038717174099,3077.0,65.0,2760.0,2315.0477430415976,62.85699299307257,3825.873842075394,57.2,0.6
45.11985377466232,72.5,73.96079517101491,57.6,3077.0,65.0,11822.456584974218,2398.201073665226,57.4,2900.0,57.2,0.712255301285898
49.2,72.2,70.9,59.4,3077.0,65.0,11580.0,2654.0,59.3,4250.0,59.1,0.65
50.4,72.2,72.15975558447538,61.0,3077.0,65.0,9240.0,2256.0,60.9,3876.898534671648,60.6,0.66
51.8,72.6,70.1,63.3,3077.0,65.0,8520.0,2410.719266757476,63.1,4210.0,62.9,0.69
49.6916280247673,72.5,74.0,61.148453080381024,3077.0,65.0,10881.637611045986,2146.1193039244254,60.679962087108294,3200.0,60.92863763692698,0.683577115618706
45.2,72.6,72.5,59.6,3092.4352547384387,64.67769162513376,10980.0,2271.0,59.3,4220.0,59.0,0.62
51.3,75.74884287237079,72.0,65.1,3077.0,65.0,2760.0,2334.0,64.9,4200.0,64.7,0.6
50.40973427785534,73.0,73.4,61.987088978399356,3077.0,65.0,4680.0,2343.0,61.796227883302606,4200.0,61.523271556973924,0.67
55.31491074702594,73.451863463656,70.54294377791364,60.2350641379176,3125.0,64.0,17436.79614097841,2137.6380988571273,60.2968264953042,4200.103417619151,57.2,0.6616763852665534
44.8,72.5,74.20346347405632,57.6,3077.0,65.0,12116.264910098822,2314.411321935311,57.4,3163.745899310625,57.2,0.7288180594960747
51.444087289776604,72.40376738949652,70.37431276790939,60.22588424139011,3077.0,65.0,8776.423555304664,2030.141519340365,61.810270640578814,4203.855080511002,59.892509393641014,0.7297516415712436
47.68333561586479,72.15501315627648,71.45560125289818,58.24496073056357,3083.6734505193135,64.92156295220278,11519.695248045586,2261.9860233517647,58.046274342439325,4199.842985248944,57.74286360577676,0.7139295097266843
51.282840277376735,73.38392254791255,74.57338584235966,59.47023036574748,3077.0,65.0,15640.656541532448,2318.795638291116,61.54932627175008,4188.8993337120955,62.03279025416448,0.7273403700539528
45.5,72.7,66.3,59.0,3082.0,64.9,11460.0,2279.0,58.7,4250.0,58.4,0.64
50.213868202684615,72.81781253205415,70.33237062731234,64.36340489889457,3077.0,65.0,13136.80272181139,2179.762835472312,64.82390088802542,4206.860989512516,58.50556885206905,0.7061934039743939
48.59522563677644,71.6,71.00078582452491,61.22930882031074,3115.8484155958577,64.19339434522524,14147.560635633963,2311.3663532303544,57.4,4200.851838037145,60.226318735071004,0.6186851577211738
47.932078644429076,72.04934372470747,72.11886529386312,59.89921280402522,3077.0,65.0,13977.448617833896,2322.0971370618868,60.99745307874557,4232.946564734698,61.436628884906675,0.7695682619829034
51.3,73.0,73.4,65.4,3077.0,65.0,2760.0,2343.0,65.2,4200.0,65.0,0.67
52.5,72.6,75.3,64.0,3077.0,65.0,10980.0,1965.0,63.8,4230.0,62.6,0.6650632647215504
